matchNumber,matchLevel,blue_totalPoints,blue_foulPoints,blue_adjustPoints,blue_totalAutoPoints,blue_totalTeleopPoints,blue_endGameTowerPoints,blue_totalTowerPoints,blue_autoTowerPoints,blue_autoTowerRobot1,blue_autoTowerRobot2,blue_autoTowerRobot3,blue_endGameTowerRobot1,blue_endGameTowerRobot2,blue_endGameTowerRobot3,blue_energizedAchieved,blue_superchargedAchieved,blue_traversalAchieved,blue_minorFoulCount,blue_majorFoulCount,blue_g206Penalty,blue_rp,blue_penalties,blue_hub_autoCount,blue_hub_transitionCount,blue_hub_shift1Count,blue_hub_shift2Count,blue_hub_shift3Count,blue_hub_shift4Count,blue_hub_endgameCount,blue_hub_teleopCount,blue_hub_totalCount,blue_hub_uncounted,blue_hub_autoPoints,blue_hub_transitionPoints,blue_hub_shift1Points,blue_hub_shift2Points,blue_hub_shift3Points,blue_hub_shift4Points,blue_hub_endgamePoints,blue_hub_teleopPoints,blue_hub_totalPoints,red_totalPoints,red_foulPoints,red_adjustPoints,red_totalAutoPoints,red_totalTeleopPoints,red_endGameTowerPoints,red_totalTowerPoints,red_autoTowerPoints,red_autoTowerRobot1,red_autoTowerRobot2,red_autoTowerRobot3,red_endGameTowerRobot1,red_endGameTowerRobot2,red_endGameTowerRobot3,red_energizedAchieved,red_superchargedAchieved,red_traversalAchieved,red_minorFoulCount,red_majorFoulCount,red_g206Penalty,red_rp,red_penalties,red_hub_autoCount,red_hub_transitionCount,red_hub_shift1Count,red_hub_shift2Count,red_hub_shift3Count,red_hub_shift4Count,red_hub_endgameCount,red_hub_teleopCount,red_hub_totalCount,red_hub_uncounted,red_hub_autoPoints,red_hub_transitionPoints,red_hub_shift1Points,red_hub_shift2Points,red_hub_shift3Points,red_hub_shift4Points,red_hub_endgamePoints,red_hub_teleopPoints,red_hub_totalPoints
14,Qualification,384,10,0,75,299,0,0,0,None,None,None,None,None,None,True,False,False,0,0,False,4,None,75,38,0,121,0,107,33,299,374,2,75,38,0,121,0,107,33,299,374,245,0,0,23,222,0,0,0,None,None,None,None,None,None,False,False,False,2,0,False,0,None,23,10,55,0,55,0,102,222,245,0,23,10,55,0,55,0,102,222,245
15,Qualification,545,15,0,143,387,0,15,15,None,Level1,None,None,None,None,True,True,False,0,0,False,5,None,128,13,0,146,0,131,97,387,515,0,128,13,0,146,0,131,97,387,515,410,0,0,88,322,0,0,0,None,None,None,None,None,None,True,False,False,0,1,False,1,None,88,0,88,0,103,0,131,322,410,1,88,0,88,0,103,0,131,322,410
16,Qualification,300,5,0,36,259,0,0,0,None,None,None,None,None,None,False,False,False,2,0,False,0,None,36,3,68,0,100,0,88,259,295,0,36,3,68,0,100,0,88,259,295,605,10,0,114,481,0,0,0,None,None,None,None,None,None,True,True,False,1,0,False,5,None,114,44,0,171,0,119,147,481,595,1,114,44,0,171,0,119,147,481,595
17,Qualification,567,0,0,128,439,0,0,0,None,None,None,None,None,None,True,True,False,1,0,False,2,None,128,0,0,176,0,160,103,439,567,1,128,0,0,176,0,160,103,439,567,568,5,0,83,480,0,0,0,None,None,None,None,None,None,True,True,False,0,0,False,5,None,83,4,150,0,116,0,210,480,563,2,83,4,150,0,116,0,210,480,563
18,Qualification,460,0,0,100,360,0,0,0,None,None,None,None,None,None,True,False,False,0,0,False,1,None,100,35,0,144,0,81,100,360,460,13,100,35,0,144,0,81,100,360,460,564,0,0,74,490,0,0,0,None,None,None,None,None,None,True,True,False,0,0,False,5,None,74,24,130,0,139,0,197,490,564,0,74,24,130,0,139,0,197,490,564
19,Qualification,586,5,0,72,509,0,0,0,None,None,None,None,None,None,True,True,False,0,0,False,2,None,72,0,151,0,165,0,193,509,581,1,72,0,151,0,165,0,193,509,581,630,0,0,124,506,0,0,0,None,None,None,None,None,None,True,True,False,1,0,False,5,None,124,20,0,162,0,161,163,506,630,0,124,20,0,162,0,161,163,506,630
20,Qualification,475,0,0,78,397,0,0,0,None,None,None,None,None,None,True,False,False,0,0,False,4,None,78,47,140,0,102,0,108,397,475,8,78,47,140,0,102,0,108,397,475,318,0,0,84,234,10,10,0,None,None,None,None,Level1,None,False,False,False,0,0,False,0,None,84,41,0,97,0,31,55,224,308,0,84,41,0,97,0,31,55,224,308
21,Qualification,769,50,0,121,598,0,0,0,None,None,None,None,None,None,True,True,False,0,1,False,5,None,121,52,0,196,0,191,159,598,719,0,121,52,0,196,0,191,159,598,719,488,15,0,106,367,0,0,0,None,None,None,None,None,None,True,False,False,1,3,False,1,None,106,0,99,0,126,0,142,367,473,4,106,0,99,0,126,0,142,367,473
22,Qualification,553,0,0,101,452,0,0,0,None,None,None,None,None,None,True,True,False,0,0,False,5,None,101,37,0,156,0,152,107,452,553,20,101,37,0,156,0,152,107,452,553,316,0,0,57,259,0,0,0,None,None,None,None,None,None,False,False,False,0,0,False,0,None,57,34,78,0,83,0,64,259,316,1,57,34,78,0,83,0,64,259,316
23,Qualification,433,15,0,109,309,0,0,0,None,None,None,None,None,None,True,False,False,2,1,False,4,None,109,27,0,133,0,72,77,309,418,0,109,27,0,133,0,72,77,309,418,295,25,0,27,243,0,0,0,None,None,None,None,None,None,False,False,False,0,1,False,0,None,27,0,77,0,105,0,61,243,270,3,27,0,77,0,105,0,61,243,270
